Name,Type,Website,Location,City,Hours,Comments,How to Help This Business,Dine-In,Outdoor Dining,Outdoor Recreation,Outdoor Retail,Outdoor Services,Gift Cards,Delivery,Take-Out,Order Online,NoCoNosh,DoorDash,GrubHub,Postmates,Bottles,Cans,Crowlers,Growlers,Product Options,Availability,meta_row_index,meta_row_id,GPS Location
Sparge Brewing,Brewery,https://www.spargebrew.com,3999 GW Bush Ave #101,Wellington,,food truck schedule on social/website.  m-th 3-7 fri 2-8 sat 12-8 sun 12-4,,,,,,,true,,true,,,,,,,,true,true,"Crowlers, Gift Cards, Growlers",Take-Out,383,f18dd13f1044a414872e2b3766b7e61e56c18c67,
Canyon Concert Ballet,"Family, Community, and Non-Profit",,1031 Conifer Street,Fort Collins,,"Contact us at 970-472-4156. Canyon Concert Ballet has approved plans to hold classes and rehearsals at our studios. CCB will continue to follow the health guidelines from the Larimer County Health Department. We have been working closely with a health department member that continues to guide us to make safe decisions to maintain the dancers, their families, and our staff healthy. Please visit https://ccballet.org/covid-19-information/ for more details.",,,,,,,,,,,,,,,,,,,,,54,7b738881d25ccc42f3bd1a291bb3be27cddc9720,POINT (-105.058489 40.603919)
Perennial Gardener and Sense of Place,,,154 N College Ave,Fort Collins,,,,,,,,,,,,,,,,,,,,,,,314,1964fd9b2a2bc4b938fdbbb0fb90c1cc3836b434,POINT (-105.076921 40.588175)
Five Guys Burgers and Fries,Restaurant/Bar,http://www.fiveguys.com,1335 W Elizabeth #100,Fort Collins,,,,,,,,,,true,,,,,true,true,,,,,,"Delivery, GrubHub, Postmates",144,d00949e8c372a985ef3344cc95ca01cae33a6688,
Schure Consulting LLC,Business & Professional,,3001 Rockborough Ct.,Fort Collins,Monday-Friday 9am-5pm,,How to help this business:,,,,,,,,,,,,,,,,,,,,364,2ba9b8222d163df720681ece47b0fba516992453,POINT (-105.055008 40.54710800000001)
Cacciatore at Heller's Kitchen,Restaurant/Bar,,"1939 Jessup Dr, Ste 110",Fort Collins,,"Contact us at 970-825-5135. We wish to thank our community for your continued support of all small businesses! Effective immediately Fort Collins and Windsor locations are now open for indooor dining. Both locations are still offering carry out, delivery, and curbside pick up. Fort Collins has a large patio with heaters that will remain open for full service as well.",,,,,,,,true,true,,,,,,,,,,,"Delivery, Take-Out",49,880462fc3a920eee64a2a8e1d63df04bbdc2f2c3,POINT (-105.037619 40.563328)
Welsh Rabbit Cheese Shop & Pantry,Restaurant/Bar,http://www.thewelshrabbit.com,216 Pine St,Fort Collins,10am-7pm,Monday - Thursday: 12pm - 9pm  Friday: 12pm - 10pm  Saturday: 11am - 10pm,,,,,,,true,true,true,,,,,,,,,,Gift Cards,"Delivery, Take-Out",467,2fb0bb023140d7f63a2bb12e93c541cdafc04802,POINT (-105.07628 40.589308)
"Rachel Blunk, LAc, Inc",Health & Wellness,http://www.BabyByBlunk.com,2601 S Lemay #25,Fort Collins,M/W/F 9am-1pm herb pickup only,https://www.facebook.com/RachelBlunkLAc/,Refer me to individuals needed hemeopathics.,,,true,,,true,true,,,,,,,,,,,Gift Cards,"Delivery, Outdoor Recreation",336,ddcf05865c690257803413c60676c2f869639680,POINT (-105.057988 40.550709)
LevityZen,Business & Professional,,511 1/2 S Loomis Ave,Fort Collins,,"Contact us at 970-412-8725. Conducting energy work on people by phone to help with stress, anxiety, fear and hopelessness and as always offering 20 minute free consultations to lighten whatever struggles you are going through emotional, physical and mental.",,,,,,,,,,,,,,,,,,,,,236,7fea7fbcd6953eb0f39d8a1e4079ff7929c3a4ee,POINT (-105.087908 40.581101)
Hearne's Footwear & Clothing,Retail,http://www.hearnesfinegoods.com,15 Old Town Square,Fort Collins,10:00-6:00 Monday-Saturday 11:00-4:00 Sunday,,Please follow us on Instagram and Facebook and like and share our posts @hearnesfootwearandclothing.  Please buy local.,,,,true,,true,true,,true,,,,,,,,,Gift Cards,"Delivery, Order Online, Outdoor Retail",181,a1b598975f0eda580bb131fa8928b84266dfa4f4,POINT (-105.07568 40.587766)
Rio Fort Collins,Restaurant/Bar,http://riograndemexican.com/locations/fort-collins/?utm_source=Yext&utm_medium=Local_Listings&utm_campaign=Fort_Collins,143 W. Mountain Avenue,Fort Collins,11AM - 8PM,"Contact us at 970-224-5428. Delicious TexMex and Margaritas - located in the heart of Old Town Fort Collins. Now open for limited dine-in and outdoor service, as well as food and margs takeout. Whether you're coming in to unwind and dine with us, to have a drink on our lovely patio, bringing food home for the family, or just grabbing some margs for a fun night at home, the Fort Collins Rio is a safe and delicious escape. Open Daily for Dine-In and Takeout: 11am - 9pm / Sun - Thurs 11am - 10pm / Fri - Sat",How to help this business:,,true,,,,true,,true,true,true,true,true,,,,,,Gift Cards,"DoorDash, GrubHub, NoCoNosh, Order Online, Outdoor Dining, Take-Out",351,7d0f514990e8872e9d5b663a43a5375e798d4def,POINT (-105.078228 40.586965)
Compost Queen,"Construction, Trades & Landscaping",https://compostqueenfc.com/,2224 Stonegate Drive,Fort Collins,8am-6pm,No contact composting service!,"How to help with business: Please rate us on Google and social media, share our services with local individuals",,,,,true,true,true,,true,,,,,,,,,Gift Cards,"Delivery, Order Online, Outdoor Services",86,6b25e602aa9b56a70e150e24cef7b99b435e10a2,POINT (-105.036309 40.532076)
Frontier Printing,Business & Professional,,1400 Webster Ave,Fort Collins,,"Contact us at 970-484-2950. Is open for business and eager to assist in any marketing needs you might have. We offer printing for direct mail, posters, brochures and signage needs to let customers know if your open or closed, we are here to help in any way possible. Please contact Steve Beddoe at 970-484-2950 anytime.",,,,,,,,,,,,,,,,,,,,,159,084d3057e484425a322f9048dec2971123f6b898,POINT (-105.05086800000001 40.587899)
High Plains Scuba Center,Entertainment & Recreation,http://highplainsscuba.com/,115 West Harvard Street,Fort Collins,"M-F 10-6; Sa 9-5, Su 12-4",,"SCUBA, snorkel, and swim are safe and fun activities to do in our heated, well-maintained pool.  Please rent the pool room for an hour with your family and enjoy feeling weightless in these heavy times. Like us on social media https://www.facebook.com/HighPlainsScuba/",,,true,,,true,,,,,,,,,,,,Gift Cards,Outdoor Recreation,187,ac2f979828d724e8cf754c5c4efb4fcfdd814298,POINT (-105.07806800000002 40.548928)
The Cupboard,Retail,https://thecupboard.net/,152 S College Ave,Fort Collins,10am-4pm Mon-Sun,"Contact us at 970-493-8585. We're open 10-6 Monday through Saturday. 11-5 Sunday for in store shopping. Phone orders and alley door pickup. Call 970-493-8585 for details, wear your mask, and hope to see you soon!",,,,,,,,,true,,,,,,,,,,,Take-Out,407,ea5fd85e17a0add935f4e4087a0a1d67dd7bd26b,POINT (-105.076923 40.58594)
Graham's Flooring and Design,Business & Professional,,451 N Denver Ave,Loveland,,"Contact us at 970-528-5139. Showroom open by appointment only. Committed to the health and safety of our customers, employees, and installation partners. We are here and ready to provide great products and service and have put into place the following protocol: 1) Our Showroom is open by appointment only. We are sanitizing surfaces and samples between each customer visit and only allowing 1 customer (group) in at a time. Call 612-0214 for an appointment. 2) We will continue to do onsite consultations and measures with very strict adherence to the safety measures below: 3) We will respectfully keep 6 feet away from customers.  No handshakes for now - a smile and wave work great! 4) We are committed to washing hands frequently and keeping all high-touch surfaces of our office cleaned and disinfected. 5) We will disinfect doorknobs and light switches upon completion of installation.  We recommend our customers give the installers plenty of space to complete installations without crossing the 6' distance. 6) Importantly, we are closely monitoring our health. If we are not feeling well, we will contact you immediately to reschedule. We kindly ask the same of our customers.",,,,,,,,,,,,,,,,,,,,,172,857020667bc0a1a8be6b79541a00897d39385104,
Donoho's Beer and Spirits,Liquor Store,,4562 Denrose Ct # 6,Fort Collins,?? closing early around 7,,,,,,,,,,true,,,,,,,,,,,Take-Out,113,533f1500de8863fef3e23b2c9808fbfcbb1107f4,POINT (-104.994525 40.57983)
Jukebox Quilts,Retail,http://www.jukeboxquilts.com/,400 N. College Unit A,Fort Collins,Tues - Sat: 10-5,,"- Send a loved one a gift card from our online store - Purchase a high quality, locally made facemask - Review us on Google Reviews. - Follow us on Facebook www.facebook.com/JukeboxQuilts/.   We offer personal shopping services via Facetime or Zoom if you do not want to come into the shop. Curbside delivery is available!",,,,,,true,,true,true,,,,,,,,,Gift Cards,"Order Online, Take-Out",219,3736d58a08babb8ac9c78fa655b019bc62c88624,POINT (-105.076688 40.592541)
Mountain Media,Business & Professional,,102 Rome Ct,Fort Collins,,Contact us at 970-493-2499. Open for business and committed to keeping our community healthy by conducting business online and by phone. Clients can contact 970-493-2499 for any printing needs.,,,,,,,,,,true,,,,,,,,,,Order Online,274,da242a62e88d904f9224db8ce680498c11ba129e,POINT (-105.03298 40.588736)
The Music District,Temporarily Closed,https://www.themusicdistrict.org/,639 South College Avenue,Fort Collins,Temporarily Closed,,"1) Please let the musicians and music workers in the community know that they can contact us for advice, support, education, consultation and connection even though our physical space is closed! info@themusicdistrict.org 2) Check out our social media platforms for information on upcoming virtual activities @themusicdistrict. 3) Support local musicians! Buy their merchandise online, put money in their virtual tip jars, or just reach out to say you appreciate them.",,,,,,,,,,,,,,,,,,,,420,42b9d6b338ee641fe3820e3c2195b0175629fd1a,POINT (-105.077128 40.578728)
Colorado Krav Maga Ft Collins,Entertainment & Recreation,http://Coloradokravmaga.com,5800 South College Ave,Fort Collins,11:30 am to 8:00 pm,,How to help this business:,,,,,,,,,true,,,,,,,,,,Order Online,81,4f5df1d1951bb980f370dca8b5eb7eafc22746be,POINT (-105.077156 40.505959)
Snack Attack Specialty Sandwiches & Brews,Restaurant/Bar,,"120 W Stuart St, Unit A",Fort Collins,,"Contact us at 970-825-5989. Officially approved to open for dine-in under Larimer County's ""Level Up"" 5 Star Variance! We are currently offering: 25% dine in capacity and outdoor patio dining -call ahead pick up -online ordering for pic up -curbside if needed -delivery via Nosh Noco!",,,,,,,,true,true,true,,,,,,,,,,"Delivery, Order Online, Take-Out",378,a7c93f8e4609216d4741cf701fbb70081d118238,POINT (-105.077148 40.563461)
Krazy Karl's Timberline,Restaurant/Bar,http://www.krazykarlspizza.com/,2620 S. Timberline Rd.,Fort Collins,10:30am - 12 am,"Beer and wine for delivery. We deliver for ourselves, avoid unnecessary fees.",Check out our online ordering for take out and delivery! Gifts cards also available online. Support local!,,true,,,,true,true,true,true,,,,,,,,,Gift Cards,"Delivery, Order Online, Outdoor Dining, Take-Out",230,8ee2d3886a31639b17d9e670d22dc964298752ed,POINT (-105.038955 40.55055)
School of Rock Fort Collins,"Family, Community, and Non-Profit",,,Fort Collins,,Contact us at 970-236-ROCK. We are offering online classes and onsite services. Appointment and mask required.,,,,,,,,,,true,,,,,,,,,,Order Online,363,a28c302539a099ac96fbdacb453dd1841449b1f7,POINT (-105.082459 40.588972)
Verboten Brewing,Brewery,https://verbotenbrewing.com/,127 E. 5th Street,Loveland,,"Sun-Fri 3-6pm, Sat 2-6pm. Home delivery service everyday, 970-988-6333 or email sales@verbotenbrewing.com",,,,,,,,true,true,,,,,,,true,true,true,"Cans, Crowlers, Growlers","Delivery, Take-Out",452,dda980455121dbf57e5088377b167ba409ec3fbe,POINT (-105.075122 40.396524)
Cohere Coworking,Business & Professional,http://coherecommunity.com/membership,"418 south howes, Suite 300",Fort Collins,24/7,,"Cohere provides a vibrant, engaged and helpful online community for everyone who is stuck at home working and juggling life. We have accountability groups, productivity sessions AND limited capacity to work inside our beautiful office in Old Town Fort Collins. Monthly membership is just $19 and every dollar counts right now!",,,,,,,,,,,,,,,,,,,,76,ff7235ee6e8ad2457254e7255db01a73991bc561,POINT (-105.080681 40.582109)
Alexander & Ewert,Business & Professional,,"333 W Drake Rd, Ste 41",Fort Collins,,Contact us at 970-725-6626. Open and available to clients for all legal services. We are providing phone and video client consultations and meetings. We are focusing on keeping clients and their children safe in the coming weeks. Please reach out if there are concerns about domestic violence or imminent physical or emotional danger to kiddos. We will continue to be present and available for clients experiencing dependency and neglect court proceedings. Clients can schedule appointments from our website by calling us at 970-725-6626.,,,,,,,,,,,,,,,,,,,,,7,86bd41291c6bfd6378c9155f41b6f03ff17f3e00,POINT (-105.081391 40.552553)
Los Tarascos,Restaurant/Bar,http://lostarascos.com,622 S College Ave,Fort Collins,"Mon-Fri 3pm-8pm, Sat-Sun 12pm-8pm",Offering margaritas w/ takeout,,,,,,,true,true,true,,true,true,,true,,,,,Gift Cards,"Delivery, DoorDash, NoCoNosh, Postmates, Take-Out",245,530e463511be2152e1c2ca8bf8546fb43d0902a7,POINT (-105.076978 40.579155)
Pizza Hut,Restaurant/Bar,https://www.pizzahut.com/,,Fort Collins,,,,,,,,,,true,,,,,,,,,,,,Delivery,319,eaec55e67270b3a71420717774a0d05a8c4a2de3,POINT (-105.082459 40.588972)
Blue Moose Art Gallery,Entertainment & Recreation,http://www.bluemooseartgallery.com,"4032 S College Ave, Fort Collins, CO",Fort Collins,"Monday-Sat, 10a-4p; Sun 11-4",,"Write a review on social, Google My Business page, Yelp, Trip Advisor. Shop our online sales via our website. Purchase a gift card either online or in the gallery. Visit the store to support 80+ Colorado artists and to have FUN!   Follow us on Facebook: facebook.com/BlueMooseArtGallery and Instagram: instagram.com/blue.moose.gallery/?hl=en https://g.page/BlueMooseArtGallery/review?rc",,,,,,true,,,true,,,,,,,,,Gift Cards,Order Online,39,850fb1da59217aa2d07d73f2d2e42cffe9dcacd4,POINT (-105.076951 40.531297)
Cuppys Coffee,Restaurant/Bar,https://cuppyscoffeefc.com/,353  W Drake Rd #120,Fort Collins,"Reopening May 4th, 8am-5pm Mon-Sun","Coffee drinks, soothies, breakfast, lunch & bags of coffee",,,,,,,true,,true,,,,,,,,,,Gift Cards,Take-Out,98,ee6c23aa64191f98bc8c6909708af51ac4807b71,POINT (-105.082067 40.55256)
Otter Shop,Retail,http://www.otterbox.com/en-us/otter-shop.html,151 W Mountain Ave,Fort Collins,Monday thru Saturday 10-8p,"Contact us at 970-825-5650. Open for in-store shopping, curbside pick-up, and free standard shipping . Hours Monday-Saturday from 10am-8pm. Call us at 970-825-5650. We are able to do refunds and warranties but cannot exchange screen protectors or cases at this time!",How to help this business:,,,,,,,,true,,,,,,,,,,,Take-Out,304,4b26ceb8204cb474a7b8859979900634f641b8a7,POINT (-105.078413 40.586963)
Moe's Original Bar-B-Que Ft. Collins,Restaurant/Bar,https://www.facebook.com/moesbbqftcollins/,181 N. College Ave,Fort Collins,11am-8pm,"Contact us at 970-482-7675. We'll be open for dine in daily 11am-8pm. Call in takeout and online delivery with grubhub, doordash, and NocoNosh is still available as well!",,,,,,,true,true,true,true,true,true,true,,,,,,Gift Cards,"Delivery, DoorDash, GrubHub, NoCoNosh, Order Online, Take-Out",271,faa7fc3c149d3f65299818553d7795c984765a09,POINT (-105.077061 40.588631)
Jaws Sushi,Restaurant/Bar,,1205-A W Elizabeth St,Fort Collins,,Contact us at 970-682-2678. Open for takeout!,,,,,,,,,true,,,,,,,,,,,Take-Out,208,adc0e39c3d433681c2f02d898e5dcf428b2d1999,POINT (-105.097133 40.574646)
Workspace Innovations,Business & Professional,,"4414 E Harmony Rd, Ste 100",Fort Collins,,Contact us at 970-568-5210. Open for business and for any moves or commercial installation services. Our showroom at 4414 W Harmony also offers an excellent selection of new and used office furniture.,,,,,,,,,,,,,,,,,,,,,478,196645c3474ec01c2643ef1d6d02eb2eb7e23b5f,POINT (-104.994604 40.523391)
Fat Shack,Restaurant/Bar,http://fatshack.com,706 S College Ave,Fort Collins,,,,,,,,,,,,,,true,,,,,,,,DoorDash,139,41c7088a721d18ebe109d24d15c2a711b843532e,POINT (-105.07698 40.57775)
Starry Night,Restaurant/Bar,http://starrynightespressocafe.com/,112 S College Ave,Fort Collins,Monday:  CLOSED  Tuesday:  8:00 AM - 4:00 PM  Wednesday:  8:00 AM - 4:00 PM  Thursday:  8:00 AM - 4:00 PM  Friday:  8:00 AM - 4:00 PM  Saturday:  8:00 AM - 4:00 PM  Sunday:  8:00 AM - 4:00 PM,,How to help this business:,,,,,,,,,,,,,,,,,,,,388,0e1ceb936c32a0a7a93a38a9fc629ccf9b19ee70,POINT (-105.076922 40.586581)
Red Truck,Brewery,http://redtruckbeer.com,1020 E Lincoln Ave,Fort Collins,,Call to order or use gotab website. Free delivery.,,,,,,,true,true,,,,,,,,true,true,,"Cans, Crowlers, Gift Cards",Delivery,346,4fc91d7755c7ad94c83d8972c3e7a363503ee7b8,POINT (-105.058521 40.588757)
She Leads,Business & Professional,http://www.meetup.com/sheleadsfc/,"19 Old Town Square, Ste. 238",Fort Collins,n/a,https://www.facebook.com/SheLeadsFC/,Invite a women to our upcoming free events - meetup.com/sheleadsfc/  Buy/donate/sponsor an Impact Membership.,,,,,,,,,,,,,,,,,,,,368,490aa01ea9d289adea29e669f3638e7ddc5bb81c,POINT (-105.07568 40.587766)
Daddy Cakes,Restaurant/Bar,,"140 E Boardwalk Dr, Unit J",Fort Collins,,Contact us at 970-223-0172. Order online at daddycakesbakery.com Delivery or curbside pickup. Custom cakes at daddycakesfc.com  Via Nosh (get the app!) In store at 140 Boardwalk (wear your mask) Takeout and patio dinning,,,,,,,,,true,true,,,,,,,,,,"Order Online, Take-Out",103,b7c5526c41ea578d8e20cfa394bbf61d50e94fbb,POINT (-105.074826 40.532456)
Poudre Liqours,Liquor Store,https://www.poudreliquors.com,814 N College Ave,Fort Collins,10am-11pm,"Drive Thru pickup, Drizly for delivery (4pm-11pm)",,,,,,,,true,true,,,,,,,,,,,"Delivery, Take-Out",324,5d9144060a8ee419d2e4cabc9aa9fb32552b8360,POINT (-105.076642 40.598181)
FedEx Office,"Construction, Trades & Landscaping",https://local.fedex.com/en-us/co/fort-collins/office-1602/?cmp=LOC-1001545-3-1-971-1110000-US-US-EN-GPLCOPYANDPRINT,130 W Olive St,Fort Collins,9AM - 6PM,,"Signs and Banners, copies and prints, Packing and Shipping.",,,,,,,true,,true,,,,,,,,,,"Delivery, Order Online",140,c873bf6587b7ccbb3e633551a63662bd45c66692,POINT (-105.078452 40.584248)
Jennifer Harms Allstate,Business & Professional,http://Allstate.com/JenniferHarms,1008 Driftwood Dr. Ste. B,Fort Collins,M-TH 9am-5:30pm F 9am-5pm S 9am-1pm,,Please like us on social media and refer us to your friends and family who are looking for insurance quotes https://www.facebook.com/JenniferHarmsAllstate/.,,,,,,,,,,,,,,,,,,,,213,5e3b3c6b4d4b8680e8fe669b36e8595eea566f6b,POINT (-105.059508 40.537493000000005)
CopperMuse Distillery,Restaurant/Bar,https://coppermuse.com/store,244 N College Ave #105,Fort Collins,"Wed & Fri 4-6:30pm, Sat 1-4pm.","Contact us at 970-999-6016. Open for indoor/patio dinning & libations or take out. Tasting room is open every weekend, Friday 2-8, Staurday 12-8, and Sunday 12-6 Closing hours subject to change due to inclement weather.",,,,,,,true,,true,,,,,,true,,true,,"Bottles, Crowlers, Gift Cards",Take-Out,91,9056101d88ef0dbb8d8a757d1954e6d05d6fbece,POINT (-105.0769 40.590097)
Zebrajellyfish Photography,Business & Professional,http://www.zebrajellyfish.com/,"525 W. Oak Street, Suite B-14",Fort Collins,6am - 10pm,"Contact us at 970-213-1777. My approach to the world pandemic is simple. I will shoot your headshots outdoors. My studio is small and standing 6 feet from me without a mask or far enough away is not ideal. In the case of inclement weather I am flexible. If it's windy and you have longer hair that would be affected, we can reschedule. If it's very cold and your cheeks turn red, I can fix that! The great thing about my work and my skill is that I can shoot you in almost any environment/setting. I can make it look like it was shot indoors/elsewhere with a variety of backdrops.",Headshots still happening with greater awareness and attention to ANY Covid-19 requirements posed by local and federal offices.,,,,,,true,,,true,,,,,,,,,Gift Cards,Order Online,484,4cf83ca3f6b6258cc210614a85c247eaf9ac7fce,POINT (-105.085587 40.585645)
Chick-fil-A Fort Collins,Restaurant/Bar,https://www.chick-fil-a.com/OrderFood/fortcollins,3605 S College Ave,Fort Collins,,"Contact us at 970-377-9644. Dine-in services are temporarily closed. Dining services that are open include: delivery, drive-through, curbside pickup, and carryout. Monday - Saturday 6:30am - 10:00pm Sunday Closed",,,,,,,,true,true,,,true,,,,,,,,"Delivery, DoorDash, Take-Out",66,f89a3489f7eb33bd55df73d6164080e463f1a4fa,POINT (-105.077162 40.537753)
Liquor Kabinet,Retail,,3035 West Prospect Road,Fort Collins,10am-10pm Sun-Th & open till 11pm Fri/Sat,,"Call ahead for delivery or pickup, same-day or schedule for later.",,,,,,,true,,,,,,,,,,,,Delivery,240,7fcbbbd6e1a319174277187026c997066b9a69ba,POINT (-105.133144 40.567759)
Lucky's Market,,,425 South College Ave.,Fort Collins,,,,,,,,,,,,,,,,,,,,,,,251,2744bdb402c46b5a0bddd393ab6bba0377ea729d,POINT (-105.077112 40.581906)
Fort Collins Tailor and Alterations,"Construction, Trades & Landscaping",http://Fortcollinstailor.com,2224 S. College Ave,Fort Collins,10 am to 5 pm,,Like us on social media,,,,,,,,,,,,,,,,,,,,155,8269bfce87eccfa36529eecda0f598c0af9c14fe,POINT (-105.076929 40.557788)
Independent Plumbing Solutions,Business & Professional,,"1611 E. Lincoln Ave, Unit A",Fort Collins,,Contact us at 970-566-1377. Open for Business! Please call us at 970-566-1377 or email Dan at dan.o@iplumbingsolutions.com or Tammy at tammy.morgan@iplumbingsolutions.com Please be patient as we work with reduced staff to take care of all customers!,,,,,,,,,,,,,,,,,,,,,198,c950353d98177725e24dbb1cb44d27c9041e0daa,POINT (-105.047481 40.585319)
Dickey's Barbecue Pit,Restaurant/Bar,http://www.dickeys.com/,2721 S College Ave. #2,Fort Collins,11:00am to 8:30pm,,https://www.facebook.com/dickeysbarbecuepit/,,,,,,true,true,true,true,true,true,true,true,,,,,Gift Cards,"Delivery, DoorDash, GrubHub, NoCoNosh, Order Online, Postmates, Take-Out",108,f36791d69227d07fc9f8b9a83e88822321e8d50e,POINT (-105.077304 40.550211)
Purpose Brewing,Brewery,https://purposebrewing.com/,4025 S Mason St,Fort Collins,,"750mL fliptop bottles ($10 - 20 depending on beer, also add $10 for a fliptop bottle if you are not returning one) and 1/6 bbls kegs ($130 - 200)",,,,,,,,,true,,,,,,true,,true,,"Bottles, Crowlers",Take-Out,331,f045c44a6506974c114a39f1874b8b37d06ecf99,POINT (-105.079494 40.531142)
Walrus Ice Cream,Restaurant/Bar,http://www.walrusicecream.com/,125 W. Mountain Avenue,Fort Collins,Noon -9  Sun-Wed. Thurs-Sat 11am-10pm,"Contact us at 970-482-5919. Open Sun-Wed 12-9pm, and Thur-Sat 11am-10pm Takeout, and delivery","1. We wholesale and sell in store pre-packaged pints to go.  2. We love a great review  3. We sell online gift cards, on our website or over the phone.",,true,,,,true,true,true,true,true,,,,,,,,Gift Cards,"Delivery, NoCoNosh, Order Online, Outdoor Dining, Take-Out",463,91d71016c9c57d5466ff725461e394ce4222432c,POINT (-105.077956 40.586968)
European Motor Cars Inc.,Auto,,802 E Mulberry St,Fort Collins,,Contact us at 970-484-0040. Open! Call or email for an appointment.,,,,,,,,,,,,,,,,,,,,,130,2dc5a67b72f09632def4a5050596c972e55f401b,POINT (-105.06448 40.581493)
Tasty Harmony,Restaurant/Bar,http://Tastyharmony.com,160 West Oak St.,Fort Collins,Tue-Sun 11-8pm,"Contact us at 970-689-3234. Open for patio & dine-in. See the menu at tastyharmony.com. Togo, curbside pickup. Credit card only please.",How to help this business:,,,,,,true,,true,,,,,,,,,,Gift Cards,Take-Out,400,de508342894cf38c7c7c336f362ba8e95768712b,POINT (-105.07863900000001 40.585634)
Music City Hot Chicken,Restaurant/Bar,https://mchcco.com/,111 W Prospect Rd C,Fort Collins,Wed-Sun 11am-8pm,REOPENED!,,,,,,,,,true,,true,,,,,,,,,"NoCoNosh, Take-Out",279,6107b929dce8cacd1175781bb418243ca2c62ded,POINT (-105.078704 40.567108)
Vie et Mort,,,111 W Olive St ste100,Fort Collins,,,,,,,,,,,,,,,,,,,,,,,456,22afbf5781704e34e47692e9ac6634e7e315a49b,POINT (-105.077885 40.584249)
Kaiser Permanente,Health & Wellness,,2950 E Harmony Rd #190,Fort Collins,,"All Kaiser Permanente Colorado medical offices are open. We have safety measures in place, including requiring masks at all Kaiser Permanente locations. Kaiser Permanente is committed to helping shape the future of health care. We are recognized as one of America's leading health care providers and not-for-profit health plans. Founded in 1945, our mission is to provide high-quality, affordable health care services and to improve the health of our members and the communities we serve. We serve 11.8 million members in eight states and the District of Columbia. Care for members and patients is focused on their total health and guided by their personal physicians, specialists and team of caregivers. Our expert and caring medical teams are empowered and supported by industry-leading technology advances and tools for health promotion, disease prevention, state-of-the art care delivery and world-class chronic disease management. Kaiser Permanente is dedicated to care innovations, clinical research, health education and the support of community health. For more information, go to: kp.org/share.",,,,,,,,true,,,,,,,,,,,,Delivery,223,2a61d6f341378354d87aa7650ae0ba348c633367,POINT (-105.022268 40.523316)
TCBY,Restaurant/Bar,http://tcby.com/troutman,100 W Troutman Pkwy,Fort Collins,,"Contact us at 970-223-4851. We are open and making adjustments to serve you. UPDATE: Now offering curbside pick up and delivery. HOURS: Our Store Hours will be 11 A.M. - 8 P.M. and may be adjusted in the coming weeks. HOW TO SUPPORT US: Help keep TCBY and other locally owned businesses alive during this uncertain time by ordering take out, ordering through delivery services or buying gift cards. Orders can be placed for pick up by calling us at our Greeley location at 970-673-8193, and at our Fort Collins location at 970-223-4851. Our menu can be located on our Facebook page, Instagram, as well as third party delivery service sites including Grub Hub and Door Dash. We are hopeful that this time will pass and we support efforts to stop COVID-19 by doing our part now. All of us here at TCBY thank you for your continued support for your local businesses and will continue to serve you as always!",,,,,,,true,true,true,,,true,true,,,,,,Gift Cards,"Delivery, DoorDash, GrubHub, Take-Out",395,8ba6742e2a9a8ddc30e1a6b355c06e29c7274bed,POINT (-105.0776 40.528658)
Palmer Flowers,Retail,,,Fort Collins,,"Contact us at 970-226-0200. Our showrooms are open for the public to come in and safely shop for fresh flowers, plants gifts and decor. We also have full delivery and curbside pickup services.",,,,,,,,true,true,,,,,,,,,,,"Delivery, Take-Out",307,6c1ea69cacd3ad13103962f692f1e115f7087fb2,POINT (-105.082459 40.588972)
FLEXX Productions,"Construction, Trades & Landscaping",https://www.flexxproductions.com/,"1833 E Harmony Road #19, Fort Collins, CO 80528",Fort Collins,Monday-Friday 9am-4pm,Rate and like us on social media,"1) We offer tents for social distancing for restaurant patio extensions,Please help us spread the word.  2) We are offering a graduation rental package for graduating seniors of the class of 2020.",,,,,,,true,,true,,,,,,,,,,"Delivery, Order Online",135,a8657e34b419a14e51701ed8eee87a96d1bc68bf,
Om Amanda Yoga,,,115 N. College Ave. Suite 200,Fort Collins,,,,,,,,,,,,,,,,,,,,,,,300,2a2e49728cd6bdf5ebb0ed5403bb2b5c7023ec64,POINT (-105.077067 40.587495)
Kennedy's Lucky 27 Barbershop & Social Club,Health & Wellness,http://www.lucky27barbershop.com,1945 Jessup Drive,Fort Collins,Mon: Closed Tue: 09:30 am - 07:00 pm Wed: 09:00 am - 05:00 pm Thu: 09:30 am - 07:00 pm Fri: 09:30 am - 07:00 pm Sat: 09:00 am - 05:00 pm Sun: Closed,,https://squareup.com/gift/8NF1RJAPKR0R9/order,,,,,,true,,,,,,,,,,,,Gift Cards,,226,223b4ce80d7654dfbbbf9eed7d8d78b7b55f3db0,POINT (-105.037379 40.563135)
Mighty Hand Construction,"Construction, Trades & Landscaping",http://www.mightyhandconstruction.com,141 Racquette Drive,Fort Collins,7 am - 4 pm,Contact us at 970-844-9191. Continues to provide residential and commercial construction.,Like us on Facebook. Share our company with a friend looking for a trusted contractor.,,,,,,,,,,,,,,,,,,,,267,b4585d8f6965c6085a5477ed449b5d219f4208c1,POINT (-105.044698 40.588642)
